AGE,CASE_CNT,DEATH_CNT,VAC_CNT,CASE_PER,DEATH_PER,VAC_PER
0-9,26166.0,3.0,0.0,5.660977419696809,0.01937483854301214,0.0
10-19,47710.0,6.0,563916.0,10.321991618655307,0.03874967708602428,8.221682581782936
20-29,84710.0,43.0,794751.0,18.326889750917857,0.2777060191165074,11.58716981528201
30-39,79186.0,106.0,971349.0,17.131780094630876,0.6845776285197623,14.161902045929311
40-49,68826.0,288.0,978465.0,14.890408617597362,1.8599845001291655,14.265650641911634
50-59,68762.0,807.0,1142465.0,14.87656230731453,5.2118315680702665,16.65670878428107
60-69,45782.0,1618.0,1112453.0,9.904871521384978,10.449496254197882,16.21914514422746
70-79,25126.0,2419.0,719711.0,5.43597487760078,15.622578145182123,10.493114918919801
80+,15949.0,4231.0,355904.0,3.4505437922014983,27.32498062516146,5.188946079889335
Unknown,0.0,5963.0,219874.0,0.0,38.5107207439938,3.205679987776444
